股利發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利功積,股票股利合計,股利合計
2024,0.7,0,0.7,0,0,0,0.7
2023,3,0,3,0,0,0,3
2022,7.5,0,7.5,0,0,0,7.5
2021,2.4,0,2.4,0,0,0,2.4
2020,2.2,0,2.2,0,0,0,2.2
2019,5,0,5,0,0,0,5
2018,5.1,0,5.1,0,0,0,5.1
2017,4.5,0,4.5,0,0,0,4.5
2016,3.3,0,3.3,0,0,0,3.3
2015,2.3,0,2.3,0,0,0,2.3
2014,1.9,0,1.9,0,0,0,1.9
2013,0.3,0,0.3,0.1,0,0.1,0.4
2012,2.1,0,2.1,0,0,0,2.1
2011,4.7,0,4.7,0,0,0,4.7
2010,1.9,0,1.9,0,0,0,1.9
2009,0.8,0,0.8,0.3,0,0.3,1.1
2008,6.7,0,6.7,0,0,0,6.7
2007,5,0,5,0,0,0,5
2006,3.7,0,3.7,0,0.3,0.3,4
2005,3.6,0,3.6,0,0.6,0.6,4.2
2004,1.8,0,1.8,0,0.6,0.6,2.4
2003,1.2,0,1.2,0.2,0.4,0.6,1.8
2002,0.7,0,0.7,0.3,0.4,0.7,1.4
2001,1.1,0,1.1,0.8,0.3,1.1,2.2
2000,1,0,1,0.6,0.4,1,2
1999,0.6,0,0.6,0.6,0.5,1.1,1.7
1998,0,0,0,1.7,0,1.7,1.7
1997,1.1,0,1.1,1.1,0,1.1,2.2
1996,1.15,0,1.15,1.15,0,1.15,2.3
1995,1.15,0,1.15,1.15,0,1.15,2.3
1994,1.05,0,1.05,1.05,0,1.05,2.1
1993,1.1,0,1.1,1.1,0,1.1,2.2
1992,1.1,0,1.1,1.2,0,1.2,2.3
1991,1.1,0,1.1,1.2,0,1.2,2.3
1990,1,0,1,1.3,0,1.3,2.3
1989,1,0,1,1.8,0,1.8,2.8
1988,1,0,1,1.7,0.1,1.8,2.8
1987,0.9,0,0.9,1.6,0.1,1.7,2.6
1986,1.2,0,1.2,1.1,0.1,1.2,2.4
1985,1.3,0,1.3,1.2,0.3,1.5,2.8
1984,1,0,1,1,0.6,1.6,2.6
累計,88.25,0,88.25,22.25,4.7,26.95,115.2
